"Usual Status (ps+ss)","61st Round of NSS (2004–05) Rural","61st Round of NSS (2004–05) Urban","61st Round of NSS (2004–05)Total","66th Round of NSS (2009–10) Rural","66th Round of NSS (2009–10) Urban","66th Round of NSS (2009–10) Total"
"Labour Force","348.7","120.3","469","341.9","126.9","468.8"
"Work Force","342.9","115","457.9","336.4","122.6","459"
